MMSI,ShipName,ShipTypeComplete,ShipType,AdditionalInfo,Latitude,Longitude,Time
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.00813300,109.32775300,2017-01-23T00:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.00811700,109.32778500,2017-01-23T01:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.00813200,109.32774000,2017-01-23T02:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.00813200,109.32775300,2017-01-23T03:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.00808500,109.32776800,2017-01-23T04:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.00809300,109.32774500,2017-01-23T05:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.00806800,109.32776200,2017-01-23T06:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.00810200,109.32781000,2017-01-23T07:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01585500,109.33309000,2017-01-23T08:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01585000,109.33299700,2017-01-23T09:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01524800,109.33228700,2017-01-23T10:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01523000,109.33227200,2017-01-23T11:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01523200,109.33224000,2017-01-23T12:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01525200,109.33225200,2017-01-23T13:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01522800,109.33226200,2017-01-23T14:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01524500,109.33226500,2017-01-23T15:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01524200,109.33226300,2017-01-23T16:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01523300,109.33224700,2017-01-23T17:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01524700,109.33225300,2017-01-23T18:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01524000,109.33224500,2017-01-23T19:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01522000,109.33223200,2017-01-23T20:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01524700,109.33223500,2017-01-23T21:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01519700,109.33224800,2017-01-23T22:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01524000,109.33223500,2017-01-23T23:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01522700,109.33224300,2017-01-24T00:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01526500,109.33224800,2017-01-24T01:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01523000,109.33225300,2017-01-24T02:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01521700,109.33223800,2017-01-24T03:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.01524000,109.33224000,2017-01-24T04:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,0.00039800,109.29575800,2017-01-24T05:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,0.07460200,109.16197300,2017-01-24T06:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,0.07311000,109.06560300,2017-01-24T07:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.00380300,109.03339700,2017-01-24T08:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.00380300,109.03339700,2017-01-24T09:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.19766200,108.96700000,2017-01-24T10:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.33167200,108.92100000,2017-01-24T11:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.47363800,108.86600000,2017-01-24T12:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.58433500,108.83400000,2017-01-24T13:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.63570200,108.81600000,2017-01-24T14:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.69756000,108.79500000,2017-01-24T15:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.75606800,108.77500000,2017-01-24T16:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.75606800,108.77500000,2017-01-24T17:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-0.75606800,108.77500000,2017-01-24T18:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-1.36747000,108.56400000,2017-01-24T19:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-1.45518000,108.53400000,2017-01-24T20:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-1.55890000,108.44600000,2017-01-24T21:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-1.68095000,108.33400000,2017-01-24T22:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-1.68095000,108.33400000,2017-01-24T23:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-1.78527000,108.23700000,2017-01-25T00:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-1.92056000,108.11300000,2017-01-25T01:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-1.92056000,108.11300000,2017-01-25T02:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-2.02725000,108.01000000,2017-01-25T03:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-2.02725000,108.01000000,2017-01-25T04:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-2.02725000,108.01000000,2017-01-25T05:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-2.02725000,108.01000000,2017-01-25T06:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-2.02725000,108.01000000,2017-01-25T07:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-2.02725000,108.01000000,2017-01-25T08:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-2.30082000,107.67800000,2017-01-25T09:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-2.40876000,107.65900000,2017-01-25T10:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-2.45974000,107.63000000,2017-01-25T11:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-2.58740000,107.51800000,2017-01-25T12:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-2.65164000,107.44300000,2017-01-25T13:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-2.72991000,107.37100000,2017-01-25T14:32:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-2.72991000,107.37100000,2017-01-25T15:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-2.86327000,107.30000000,2017-01-25T16:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-3.15291000,107.30000000,2017-01-25T17:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-3.31109000,107.30000000,2017-01-25T18:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-3.38557000,107.28400000,2017-01-25T19:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-3.46782000,107.26000000,2017-01-25T20:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-3.61284000,107.21700000,2017-01-25T21:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-3.85533000,107.14500000,2017-01-25T22:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-3.99782000,107.11400000,2017-01-25T23:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-4.12787000,107.10100000,2017-01-26T00:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-4.24165000,107.09000000,2017-01-26T01:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-4.36836000,107.08000000,2017-01-26T02:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-4.52351000,107.06600000,2017-01-26T03:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-4.68447000,107.05200000,2017-01-26T04:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-4.76683000,107.04500000,2017-01-26T05:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-4.76683000,107.04500000,2017-01-26T06:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-4.76683000,107.04500000,2017-01-26T07:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-5.18602000,106.99800000,2017-01-26T08:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-5.42828000,106.96400000,2017-01-26T09:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-5.53871000,106.94800000,2017-01-26T10:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-5.71861000,106.92300000,2017-01-26T11:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-5.81890000,106.91100000,2017-01-26T12:31:00Z
15343,PHOENIX,Cargo-Hazardous,Cargo,Hazardous Cat. A,-5.94123000,106.88600000,2017-01-26T13:31:00Z
