MMSI,ShipName,ShipTypeComplete,ShipType,AdditionalInfo,Latitude,Longitude,Time
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.73972700,121.03569800,2017-01-23T00:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.75503300,121.04046700,2017-01-23T01:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.75503300,121.04046700,2017-01-23T02:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.75503300,121.04046700,2017-01-23T03:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.75503300,121.04046700,2017-01-23T04:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.75503300,121.04046700,2017-01-23T05:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.75503300,121.04046700,2017-01-23T06:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.75503300,121.04046700,2017-01-23T07:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.75503300,121.04046700,2017-01-23T08:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.75503300,121.04046700,2017-01-23T09:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.75503300,121.04046700,2017-01-23T10:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.75504300,121.04047500,2017-01-23T11:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.62838700,121.02924700,2017-01-23T12:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.45906700,121.15324500,2017-01-23T13:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.45906700,121.15324500,2017-01-23T14:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.45906700,121.15324500,2017-01-23T15:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.58485700,121.08483500,2017-01-23T16:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.75286800,121.04148200,2017-01-23T17:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.75289700,121.04155000,2017-01-23T18:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.66914000,121.02383300,2017-01-23T19:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.61110000,121.02500000,2017-01-23T20:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46507200,121.15091700,2017-01-23T21:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46507200,121.15091700,2017-01-23T22:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46507200,121.15091700,2017-01-23T23:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46507200,121.15091700,2017-01-24T00:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46507200,121.15091700,2017-01-24T01:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46507200,121.15091700,2017-01-24T02:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46507200,121.15091700,2017-01-24T03:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46507200,121.15091700,2017-01-24T04:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46507200,121.15091700,2017-01-24T05:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46507200,121.15091700,2017-01-24T06:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46507200,121.15091700,2017-01-24T07:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46507200,121.15091700,2017-01-24T08:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46507200,121.15091700,2017-01-24T09:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46507200,121.15091700,2017-01-24T10:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.68831200,121.02858300,2017-01-24T11:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.49641300,121.09732000,2017-01-24T12:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.44264700,121.17637200,2017-01-24T13:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.44264700,121.17637200,2017-01-24T14:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.44264700,121.17637200,2017-01-24T15:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.52320300,121.12053500,2017-01-24T16:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.75252200,121.04161300,2017-01-24T17:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.75260200,121.04171800,2017-01-24T18:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.66599500,121.02161000,2017-01-24T19:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.50366000,121.10089300,2017-01-24T20:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-24T21:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-24T22:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-24T23:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-25T00:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-25T01:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-25T02:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-25T03:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-25T04:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-25T05:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-25T06:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-25T07:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-25T08:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-25T09:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-25T10:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-25T11:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-25T12:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-25T13:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-25T14:32:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46250200,121.14748800,2017-01-25T15:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.62949500,121.02793700,2017-01-25T16:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.75258800,121.04171800,2017-01-25T17:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.75259700,121.04170300,2017-01-25T18:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.65021500,121.02462300,2017-01-25T19:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.48330300,121.12228200,2017-01-25T20:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46272000,121.15053800,2017-01-25T21:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46272000,121.15053800,2017-01-25T22:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46272000,121.15053800,2017-01-25T23:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46272000,121.15053800,2017-01-26T00:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46272000,121.15053800,2017-01-26T01:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46272000,121.15053800,2017-01-26T02:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46272000,121.15053800,2017-01-26T03:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.49436800,121.11934800,2017-01-26T04:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46611700,121.14824800,2017-01-26T05:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46611700,121.14824800,2017-01-26T06:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.46051700,121.17825500,2017-01-26T07:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.56324500,121.10548500,2017-01-26T08:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.56324500,121.10548500,2017-01-26T09:31:00Z
8086,M_V MARIA OLIVA,Passenger,Passenger,,13.56324500,121.10548500,2017-01-26T10:31:00Z
