mmsi,rtime,longitude,latitude,shipName,shipType,ShipType,shipTypeText
232004947.00000000,2018-05-01T04:27:19.000Z,-5.40365000,55.41930000,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:24:26.000Z,-5.41645000,55.41918333,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:23:49.000Z,-5.41916667,55.41950000,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:23:38.000Z,-5.41988333,55.41965000,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:23:30.000Z,-5.42051667,55.41978333,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:23:18.000Z,-5.42133333,55.41993333,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:23:09.000Z,-5.42195000,55.42005000,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:22:49.000Z,-5.42340000,55.42036667,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:22:29.000Z,-5.42481667,55.42065000,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:22:18.000Z,-5.42558333,55.42080000,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:22:09.000Z,-5.42626667,55.42090000,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:21:59.000Z,-5.42700000,55.42101667,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:21:48.000Z,-5.42773333,55.42111667,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:21:38.000Z,-5.42858333,55.42120000,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:21:29.000Z,-5.42915000,55.42126667,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:21:18.000Z,-5.42998333,55.42136667,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:21:09.000Z,-5.43065000,55.42143333,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:20:59.000Z,-5.43140000,55.42151667,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:20:48.000Z,-5.43223333,55.42163333,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:20:37.000Z,-5.43300000,55.42173333,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:19:18.000Z,-5.43883333,55.42266667,SPINDRIFT,30.00000000,Fishing,Fishing
232004947.00000000,2018-05-01T04:19:08.000Z,-5.43965000,55.42281667,SPINDRIFT,30.00000000,Fishing,Fishing
