mmsi,rtime,longitude,latitude,shipName,shipType,ShipType,shipTypeText
235000043.00000000,2018-05-01T05:26:18.000Z,-4.85941167,55.77312500,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T05:23:18.000Z,-4.85944500,55.77316000,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T05:17:14.000Z,-4.85940833,55.77316000,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T05:14:14.000Z,-4.85942167,55.77314167,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T05:11:14.000Z,-4.85943167,55.77316000,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T05:05:15.000Z,-4.85940000,55.77318500,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T05:02:10.000Z,-4.85939167,55.77313833,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T04:59:10.000Z,-4.85945833,55.77316833,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T04:50:08.000Z,-4.85940833,55.77315500,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T04:47:06.000Z,-4.85941500,55.77314833,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T04:41:05.000Z,-4.85943000,55.77312167,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T04:38:04.000Z,-4.85941333,55.77314500,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T04:35:03.000Z,-4.85942667,55.77313500,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T04:32:02.000Z,-4.85945500,55.77315500,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T04:29:01.000Z,-4.85947500,55.77313167,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T04:26:01.000Z,-4.85941667,55.77313333,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T04:23:01.000Z,-4.85944333,55.77314000,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T04:17:00.000Z,-4.85942167,55.77313333,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T04:04:56.000Z,-4.85941667,55.77315500,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T03:52:56.000Z,-4.85943500,55.77314333,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T03:43:53.000Z,-4.85941000,55.77314500,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T03:37:52.000Z,-4.85945500,55.77315000,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T03:28:52.000Z,-4.85944000,55.77314333,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T03:25:51.000Z,-4.85942500,55.77316500,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T03:22:50.000Z,-4.85942833,55.77314167,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T03:19:49.000Z,-4.85941167,55.77313167,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T03:16:50.000Z,-4.85942500,55.77314000,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T03:13:49.000Z,-4.85942333,55.77315167,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T03:10:49.000Z,-4.85940500,55.77313667,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T03:07:48.000Z,-4.85945167,55.77313500,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T03:04:48.000Z,-4.85944500,55.77312833,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T03:01:47.000Z,-4.85946333,55.77313500,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T02:58:48.000Z,-4.85941833,55.77315000,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T02:52:48.000Z,-4.85943667,55.77313167,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T02:49:48.000Z,-4.85943667,55.77314167,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T02:40:46.000Z,-4.85943833,55.77313500,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T02:31:45.000Z,-4.85937667,55.77315000,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T02:22:43.000Z,-4.85941333,55.77312833,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T02:10:40.000Z,-4.85940667,55.77313833,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T02:04:38.000Z,-4.85939000,55.77316167,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T01:58:37.000Z,-4.85943000,55.77312667,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T01:52:37.000Z,-4.85939167,55.77315667,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T01:46:35.000Z,-4.85939167,55.77316500,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T01:40:35.000Z,-4.85941000,55.77314667,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T01:37:34.000Z,-4.85941500,55.77315167,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T01:34:33.000Z,-4.85942167,55.77314500,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T01:28:33.000Z,-4.85944000,55.77314667,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T01:22:31.000Z,-4.85944333,55.77314833,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T01:04:27.000Z,-4.85944833,55.77313833,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T00:52:27.000Z,-4.85944333,55.77314667,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T00:49:25.000Z,-4.85943167,55.77314667,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T00:46:23.000Z,-4.85943833,55.77315167,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T00:37:22.000Z,-4.85941333,55.77314500,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T00:28:20.000Z,-4.85942833,55.77313167,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T00:22:18.000Z,-4.85943000,55.77314167,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T00:13:17.000Z,-4.85941000,55.77314833,,37.00000000,Pleasure Craft,Pleasure Craft
235000043.00000000,2018-05-01T00:04:17.000Z,-4.85942333,55.77314167,,37.00000000,Pleasure Craft,Pleasure Craft
