mmsi,rtime,longitude,latitude,shipName,shipType,ShipType,shipTypeText
232001490.00000000,2018-05-01T05:45:43.000Z,-4.82012167,56.05331167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:45:32.000Z,-4.82016667,56.05330333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:45:23.000Z,-4.82016500,56.05330333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:45:12.000Z,-4.82016333,56.05330500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:45:02.000Z,-4.82016000,56.05330833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:44:52.000Z,-4.82014167,56.05331833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:44:43.000Z,-4.82013667,56.05332500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:44:32.000Z,-4.82016333,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:44:23.000Z,-4.82016333,56.05334167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:44:11.000Z,-4.82016000,56.05334500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:44:02.000Z,-4.82014167,56.05331333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:43:52.000Z,-4.82014333,56.05331000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:43:42.000Z,-4.82014500,56.05330833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:43:32.000Z,-4.82014667,56.05330833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:43:22.000Z,-4.82014833,56.05331167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:43:11.000Z,-4.82014833,56.05331167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:43:02.000Z,-4.82014333,56.05332833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:42:51.000Z,-4.82014333,56.05332667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:42:42.000Z,-4.82014500,56.05332667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:42:31.000Z,-4.82014000,56.05333500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:42:22.000Z,-4.82014000,56.05333333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:42:11.000Z,-4.82014333,56.05333500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:42:01.000Z,-4.82014500,56.05333167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:41:42.000Z,-4.82014833,56.05333333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:41:31.000Z,-4.82015000,56.05333500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:41:21.000Z,-4.82015000,56.05333500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:41:11.000Z,-4.82014833,56.05333333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:41:00.000Z,-4.82014167,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:40:51.000Z,-4.82014167,56.05333667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:40:40.000Z,-4.82014333,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:40:31.000Z,-4.82014500,56.05334000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:40:21.000Z,-4.82015000,56.05331167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:40:10.000Z,-4.82015167,56.05330833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:40:00.000Z,-4.82014833,56.05330667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:39:50.000Z,-4.82014667,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:39:40.000Z,-4.82014667,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:39:31.000Z,-4.82014333,56.05334000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:39:21.000Z,-4.82015000,56.05333667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:39:11.000Z,-4.82015000,56.05333667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:38:59.000Z,-4.82015000,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:38:50.000Z,-4.82015167,56.05334000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:38:39.000Z,-4.82012000,56.05334000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:38:31.000Z,-4.82012000,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:38:20.000Z,-4.82012000,56.05332500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:38:10.000Z,-4.82014667,56.05334667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:37:59.000Z,-4.82014667,56.05334833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:37:49.000Z,-4.82014833,56.05334500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:37:39.000Z,-4.82014500,56.05334333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:37:30.000Z,-4.82012000,56.05333667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:37:20.000Z,-4.82012167,56.05333167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:37:10.000Z,-4.82010333,56.05332167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:36:59.000Z,-4.82012333,56.05333000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:36:49.000Z,-4.82012500,56.05332833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:36:39.000Z,-4.82012167,56.05332833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:36:30.000Z,-4.82012833,56.05332167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:36:20.000Z,-4.82010667,56.05331500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:36:10.000Z,-4.82010333,56.05331667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:35:59.000Z,-4.82013333,56.05331333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:35:48.000Z,-4.82010667,56.05331833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:35:39.000Z,-4.82010500,56.05331667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:35:30.000Z,-4.82010333,56.05331833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:35:19.000Z,-4.82010333,56.05332167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:35:09.000Z,-4.82013500,56.05332333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:34:58.000Z,-4.82013167,56.05332833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:34:48.000Z,-4.82013500,56.05332500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:34:38.000Z,-4.82012500,56.05333500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:34:29.000Z,-4.82012667,56.05333667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:34:19.000Z,-4.82012833,56.05333333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:34:09.000Z,-4.82012833,56.05333333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:33:58.000Z,-4.82013000,56.05333167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:33:49.000Z,-4.82013000,56.05333167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:33:37.000Z,-4.82012333,56.05334167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:33:29.000Z,-4.82012333,56.05334000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:33:19.000Z,-4.82012167,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:33:09.000Z,-4.82015167,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:32:58.000Z,-4.82015167,56.05333500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:32:49.000Z,-4.82015000,56.05333333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:32:18.000Z,-4.82013833,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:32:09.000Z,-4.82013667,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:31:58.000Z,-4.82016833,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:31:48.000Z,-4.82016500,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:31:37.000Z,-4.82016500,56.05333667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:31:29.000Z,-4.82016500,56.05333500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:31:17.000Z,-4.82016667,56.05333167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:31:08.000Z,-4.82016667,56.05332667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:30:57.000Z,-4.82016667,56.05332833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:30:48.000Z,-4.82016500,56.05332833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:30:37.000Z,-4.82016500,56.05332833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:30:28.000Z,-4.82016167,56.05333333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:30:17.000Z,-4.82016333,56.05333333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:30:07.000Z,-4.82016667,56.05333333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:29:57.000Z,-4.82016500,56.05333667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:29:48.000Z,-4.82016833,56.05333500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:29:37.000Z,-4.82013833,56.05334000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:29:28.000Z,-4.82013833,56.05334333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:29:16.000Z,-4.82014000,56.05334667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:29:07.000Z,-4.82013833,56.05335000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:28:57.000Z,-4.82014000,56.05335167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:28:48.000Z,-4.82013833,56.05335333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:28:36.000Z,-4.82013833,56.05335500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:28:27.000Z,-4.82014000,56.05335500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:28:16.000Z,-4.82014000,56.05335667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:28:06.000Z,-4.82014000,56.05335667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:27:57.000Z,-4.82014000,56.05335667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:27:47.000Z,-4.82014167,56.05335667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:27:36.000Z,-4.82014000,56.05335833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:27:27.000Z,-4.82013667,56.05336167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:27:16.000Z,-4.82013667,56.05336000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:27:06.000Z,-4.82013833,56.05336167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:26:57.000Z,-4.82013667,56.05336167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:26:47.000Z,-4.82016833,56.05336333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:26:35.000Z,-4.82013667,56.05336167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:26:27.000Z,-4.82013833,56.05336000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:26:15.000Z,-4.82014000,56.05336000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:26:06.000Z,-4.82014167,56.05335833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:25:45.000Z,-4.82014333,56.05335500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:25:36.000Z,-4.82014500,56.05335500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:25:27.000Z,-4.82014667,56.05335333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:25:15.000Z,-4.82014333,56.05335667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:25:05.000Z,-4.82014667,56.05335500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:24:57.000Z,-4.82014833,56.05335500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:24:45.000Z,-4.82015000,56.05336000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:24:36.000Z,-4.82015167,56.05336000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:24:26.000Z,-4.82014667,56.05336167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:24:15.000Z,-4.82014833,56.05336000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:24:05.000Z,-4.82015000,56.05335833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:23:56.000Z,-4.82015000,56.05335500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:23:44.000Z,-4.82015000,56.05335333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:23:36.000Z,-4.82015000,56.05335167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:23:26.000Z,-4.82015000,56.05335000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:23:16.000Z,-4.82015000,56.05334333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:23:05.000Z,-4.82015000,56.05333667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:22:56.000Z,-4.82015000,56.05333667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:22:44.000Z,-4.82015167,56.05333500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:22:36.000Z,-4.82015000,56.05333500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:22:26.000Z,-4.82015000,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:22:16.000Z,-4.82015000,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:22:06.000Z,-4.82012000,56.05333667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:21:56.000Z,-4.82012000,56.05333667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:21:35.000Z,-4.82015167,56.05334000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:21:15.000Z,-4.82014500,56.05335000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:21:05.000Z,-4.82014333,56.05335333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:20:44.000Z,-4.82014333,56.05335167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:20:24.000Z,-4.82014167,56.05335833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:20:05.000Z,-4.82014000,56.05335833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:19:54.000Z,-4.82014000,56.05336000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:19:43.000Z,-4.82013833,56.05336000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:19:34.000Z,-4.82013667,56.05335833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:19:24.000Z,-4.82016833,56.05336000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:19:15.000Z,-4.82016833,56.05335833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:19:05.000Z,-4.82013833,56.05335333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:18:54.000Z,-4.82014000,56.05335167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:18:43.000Z,-4.82014333,56.05334667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:18:34.000Z,-4.82014667,56.05334333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:18:24.000Z,-4.82014667,56.05334333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:18:15.000Z,-4.82014667,56.05334167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:18:03.000Z,-4.82014500,56.05334167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:17:54.000Z,-4.82014333,56.05334333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:17:43.000Z,-4.82014333,56.05334333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:17:34.000Z,-4.82014333,56.05334000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:17:23.000Z,-4.82014333,56.05334000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:17:14.000Z,-4.82014000,56.05334333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:17:03.000Z,-4.82013833,56.05334500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:16:53.000Z,-4.82013833,56.05334667,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:16:42.000Z,-4.82014167,56.05334500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:16:33.000Z,-4.82014333,56.05334167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:16:23.000Z,-4.82014667,56.05334000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:16:03.000Z,-4.82014833,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:15:53.000Z,-4.82015000,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:15:42.000Z,-4.82015000,56.05334000,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:15:33.000Z,-4.82015000,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:15:23.000Z,-4.82014333,56.05334333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:15:02.000Z,-4.82014333,56.05334500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:14:52.000Z,-4.82014500,56.05334500,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:14:42.000Z,-4.82014500,56.05334333,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:14:33.000Z,-4.82014500,56.05334167,SD IMPETUS,52.00000000,Tug,Tug
232001490.00000000,2018-05-01T05:14:22.000Z,-4.82014667,56.05333833,SD IMPETUS,52.00000000,Tug,Tug
