MMSI,ShipName,ShipTypeComplete,ShipType,AdditionalInfo,Latitude,Longitude,Time
3340,ANABISETIA_S,Cargo,Cargo,,-25.24650000,-57.60570000,2017-01-23T00:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22370000,-57.57010000,2017-01-23T01:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22380000,-57.57000000,2017-01-23T02:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22380000,-57.57000000,2017-01-23T03:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22380000,-57.57000000,2017-01-23T04:31:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22400000,-57.57020000,2017-01-23T05:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22510000,-57.57230000,2017-01-23T06:31:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22340000,-57.57050000,2017-01-23T07:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22510000,-57.57240000,2017-01-23T08:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22530000,-57.57260000,2017-01-23T09:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22520000,-57.57260000,2017-01-23T10:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22520000,-57.57260000,2017-01-23T11:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22470000,-57.57440000,2017-01-23T12:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22530000,-57.57230000,2017-01-23T13:31:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22430000,-57.57160000,2017-01-23T14:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22080000,-57.56730000,2017-01-23T15:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22110000,-57.56770000,2017-01-23T16:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22150000,-57.56850000,2017-01-23T17:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22150000,-57.56850000,2017-01-23T18:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22380000,-57.57340000,2017-01-23T19:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22410000,-57.57340000,2017-01-23T20:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22280000,-57.57150000,2017-01-23T21:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22280000,-57.57140000,2017-01-23T22:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22280000,-57.57160000,2017-01-23T23:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22280000,-57.57160000,2017-01-24T00:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22270000,-57.57160000,2017-01-24T01:32:00Z
3340,ANABISETIA_S,Cargo,Cargo,,-25.22270000,-57.57160000,2017-01-24T02:32:00Z
