MMSI,ShipName,ShipTypeComplete,ShipType,AdditionalInfo,Latitude,Longitude,Time
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,21.90720000,119.90200000,2017-01-23T10:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,21.90720000,119.90200000,2017-01-23T11:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,21.90720000,119.90200000,2017-01-23T12:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,21.90720000,119.90200000,2017-01-23T13:31:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.43686300,120.09429000,2017-01-23T14:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.43713800,120.08049700,2017-01-23T15:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.43637300,120.07172000,2017-01-23T16:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.43557300,120.06648700,2017-01-23T17:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.43510200,120.06447000,2017-01-23T18:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.43395300,120.06534300,2017-01-23T19:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.42912500,120.06713200,2017-01-23T20:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.42426800,120.06903300,2017-01-23T21:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.41736200,120.06815800,2017-01-23T22:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.40886000,120.06596000,2017-01-23T23:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.39997800,120.05927000,2017-01-24T00:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.43549000,120.17083000,2017-01-24T01:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.43798700,120.15921800,2017-01-24T02:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.42597300,120.15750700,2017-01-24T03:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.41706000,120.16186300,2017-01-24T04:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.40847700,120.16651700,2017-01-24T05:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.39922200,120.16820200,2017-01-24T06:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.39009500,120.17005500,2017-01-24T07:31:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.38224700,120.16896000,2017-01-24T08:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.37529200,120.16564800,2017-01-24T09:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.37366200,120.16249700,2017-01-24T10:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.38495300,120.15898200,2017-01-24T11:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.45619000,120.13346800,2017-01-24T12:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.51826200,120.10271800,2017-01-24T13:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.56280800,120.08174700,2017-01-24T14:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.55570500,120.07345700,2017-01-24T15:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.54883300,120.06300700,2017-01-24T16:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.54395500,120.05412200,2017-01-24T17:31:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.53974800,120.04480800,2017-01-24T18:31:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.54026000,120.04053800,2017-01-24T19:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.53923700,120.03761800,2017-01-24T20:31:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.53715700,120.03301800,2017-01-24T21:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.53421700,120.02726000,2017-01-24T22:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.53153000,120.02192700,2017-01-24T23:32:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.52637500,120.01429700,2017-01-25T00:31:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.51603700,120.00146700,2017-01-25T01:31:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.58350800,120.06646000,2017-01-25T02:31:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.66048500,120.15205700,2017-01-25T03:31:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.67839800,120.18021500,2017-01-25T04:31:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.67855200,120.18047300,2017-01-25T05:31:00Z
66702500,JIN HYE,Tanker-Hazardous,Tanker,Hazardous Cat. A,22.67852800,120.18049000,2017-01-25T06:32:00Z
