MMSI,ShipName,ShipTypeComplete,ShipType,AdditionalInfo,Latitude,Longitude,Time
252,MOSAED 2,Tug,Tug,,31.25952500,32.31759800,2017-01-23T00:32:00Z
252,MOSAED 2,Tug,Tug,,31.25950200,32.31758300,2017-01-23T01:32:00Z
252,MOSAED 2,Tug,Tug,,31.25952200,32.31759700,2017-01-23T02:32:00Z
252,MOSAED 2,Tug,Tug,,31.25951200,32.31760300,2017-01-23T03:32:00Z
252,MOSAED 2,Tug,Tug,,31.25952300,32.31760000,2017-01-23T04:31:00Z
252,MOSAED 2,Tug,Tug,,31.25951300,32.31761000,2017-01-23T05:32:00Z
252,MOSAED 2,Tug,Tug,,31.25953000,32.31760300,2017-01-23T06:31:00Z
252,MOSAED 2,Tug,Tug,,31.25952800,32.31759800,2017-01-23T07:32:00Z
252,MOSAED 2,Tug,Tug,,31.25952000,32.31760800,2017-01-23T08:32:00Z
252,MOSAED 2,Tug,Tug,,31.25951500,32.31760800,2017-01-23T09:32:00Z
252,MOSAED 2,Tug,Tug,,31.25951700,32.31760200,2017-01-23T10:32:00Z
252,MOSAED 2,Tug,Tug,,31.25952700,32.31760300,2017-01-23T11:32:00Z
252,MOSAED 2,Tug,Tug,,31.28050000,32.33080000,2017-01-23T12:32:00Z
252,MOSAED 2,Tug,Tug,,31.25953500,32.31761800,2017-01-23T13:31:00Z
252,MOSAED 2,Tug,Tug,,31.25953500,32.31761200,2017-01-23T14:32:00Z
252,MOSAED 2,Tug,Tug,,31.25952800,32.31761000,2017-01-23T15:32:00Z
252,MOSAED 2,Tug,Tug,,31.25954000,32.31761500,2017-01-23T16:32:00Z
252,MOSAED 2,Tug,Tug,,31.25950000,32.31760000,2017-01-23T17:32:00Z
252,MOSAED 2,Tug,Tug,,31.25953800,32.31760500,2017-01-23T18:32:00Z
252,MOSAED 2,Tug,Tug,,31.25953500,32.31761500,2017-01-23T19:32:00Z
252,MOSAED 2,Tug,Tug,,31.25953300,32.31761000,2017-01-23T20:32:00Z
252,MOSAED 2,Tug,Tug,,31.25952500,32.31762200,2017-01-23T21:32:00Z
252,MOSAED 2,Tug,Tug,,31.25954000,32.31761300,2017-01-23T22:32:00Z
252,MOSAED 2,Tug,Tug,,31.25953800,32.31760700,2017-01-23T23:32:00Z
252,MOSAED 2,Tug,Tug,,31.25953300,32.31761300,2017-01-24T00:32:00Z
252,MOSAED 2,Tug,Tug,,31.25951800,32.31761300,2017-01-24T01:32:00Z
252,MOSAED 2,Tug,Tug,,31.25953800,32.31760500,2017-01-24T02:32:00Z
252,MOSAED 2,Tug,Tug,,31.25954200,32.31760300,2017-01-24T03:32:00Z
252,MOSAED 2,Tug,Tug,,31.25953000,32.31761800,2017-01-24T04:32:00Z
252,MOSAED 2,Tug,Tug,,31.25952500,32.31761500,2017-01-24T05:32:00Z
252,MOSAED 2,Tug,Tug,,31.25953200,32.31760800,2017-01-24T06:32:00Z
252,MOSAED 2,Tug,Tug,,31.25952200,32.31761500,2017-01-24T07:31:00Z
252,MOSAED 2,Tug,Tug,,31.25953700,32.31761700,2017-01-24T08:32:00Z
252,MOSAED 2,Tug,Tug,,31.26288700,32.32310200,2017-01-24T09:32:00Z
252,MOSAED 2,Tug,Tug,,31.26112800,32.32316200,2017-01-24T10:32:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32320000,2017-01-24T11:32:00Z
252,MOSAED 2,Tug,Tug,,31.26112800,32.32322000,2017-01-24T12:32:00Z
252,MOSAED 2,Tug,Tug,,31.26111800,32.32320800,2017-01-24T13:32:00Z
252,MOSAED 2,Tug,Tug,,31.26111800,32.32322800,2017-01-24T14:32:00Z
252,MOSAED 2,Tug,Tug,,31.26112200,32.32322300,2017-01-24T15:32:00Z
252,MOSAED 2,Tug,Tug,,31.26111500,32.32320500,2017-01-24T16:32:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32320000,2017-01-24T17:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32320000,2017-01-24T18:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110800,32.32321200,2017-01-24T19:32:00Z
252,MOSAED 2,Tug,Tug,,31.26113300,32.32322800,2017-01-24T20:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112700,32.32324700,2017-01-24T21:32:00Z
252,MOSAED 2,Tug,Tug,,31.26112500,32.32324500,2017-01-24T22:32:00Z
252,MOSAED 2,Tug,Tug,,31.26111800,32.32324700,2017-01-24T23:32:00Z
252,MOSAED 2,Tug,Tug,,31.26112500,32.32324000,2017-01-25T00:31:00Z
252,MOSAED 2,Tug,Tug,,31.26113200,32.32326000,2017-01-25T01:31:00Z
252,MOSAED 2,Tug,Tug,,31.26113300,32.32326700,2017-01-25T02:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110700,32.32327700,2017-01-25T03:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32330000,2017-01-25T04:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112500,32.32326800,2017-01-25T05:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112500,32.32326700,2017-01-25T06:32:00Z
252,MOSAED 2,Tug,Tug,,31.26113300,32.32326200,2017-01-25T07:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32330000,2017-01-25T08:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112300,32.32324700,2017-01-25T09:31:00Z
252,MOSAED 2,Tug,Tug,,31.26113200,32.32324700,2017-01-25T10:31:00Z
252,MOSAED 2,Tug,Tug,,31.26113500,32.32323800,2017-01-25T11:32:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32320000,2017-01-25T12:32:00Z
252,MOSAED 2,Tug,Tug,,31.26112700,32.32323800,2017-01-25T13:32:00Z
252,MOSAED 2,Tug,Tug,,31.26111700,32.32324700,2017-01-25T14:32:00Z
252,MOSAED 2,Tug,Tug,,31.26112200,32.32325200,2017-01-25T15:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32320000,2017-01-25T16:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32320000,2017-01-25T17:31:00Z
252,MOSAED 2,Tug,Tug,,31.26111500,32.32324000,2017-01-25T18:31:00Z
252,MOSAED 2,Tug,Tug,,31.26111300,32.32323800,2017-01-25T19:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32320000,2017-01-25T20:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112000,32.32322800,2017-01-25T21:31:00Z
252,MOSAED 2,Tug,Tug,,31.26111800,32.32323000,2017-01-25T22:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112000,32.32323500,2017-01-25T23:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112700,32.32323800,2017-01-26T00:31:00Z
252,MOSAED 2,Tug,Tug,,31.26113000,32.32323000,2017-01-26T01:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32320000,2017-01-26T02:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32320000,2017-01-26T03:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112200,32.32322700,2017-01-26T04:31:00Z
252,MOSAED 2,Tug,Tug,,31.26111200,32.32324500,2017-01-26T05:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112000,32.32323200,2017-01-26T06:31:00Z
252,MOSAED 2,Tug,Tug,,31.26113000,32.32324000,2017-01-26T07:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112700,32.32325000,2017-01-26T08:31:00Z
252,MOSAED 2,Tug,Tug,,31.26113500,32.32324800,2017-01-26T09:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112700,32.32325700,2017-01-26T10:31:00Z
252,MOSAED 2,Tug,Tug,,31.26113800,32.32326200,2017-01-26T11:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112800,32.32327000,2017-01-26T12:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110200,32.32324000,2017-01-26T13:31:00Z
252,MOSAED 2,Tug,Tug,,31.26113200,32.32329800,2017-01-26T14:31:00Z
252,MOSAED 2,Tug,Tug,,31.26113200,32.32327000,2017-01-26T15:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32330000,2017-01-26T16:32:00Z
252,MOSAED 2,Tug,Tug,,31.26112000,32.32325200,2017-01-26T17:32:00Z
252,MOSAED 2,Tug,Tug,,31.26111800,32.32325500,2017-01-26T18:31:00Z
252,MOSAED 2,Tug,Tug,,31.26111700,32.32325500,2017-01-26T19:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112200,32.32325500,2017-01-26T20:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32330000,2017-01-26T21:31:00Z
252,MOSAED 2,Tug,Tug,,31.26111800,32.32327300,2017-01-26T22:31:00Z
252,MOSAED 2,Tug,Tug,,31.26113200,32.32328000,2017-01-26T23:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112800,32.32327500,2017-01-27T00:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112800,32.32329200,2017-01-27T01:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112300,32.32326700,2017-01-27T02:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112200,32.32329300,2017-01-27T03:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112500,32.32326000,2017-01-27T04:31:00Z
252,MOSAED 2,Tug,Tug,,31.26111200,32.32327000,2017-01-27T05:32:00Z
252,MOSAED 2,Tug,Tug,,31.26111300,32.32327800,2017-01-27T06:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112200,32.32328300,2017-01-27T07:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112300,32.32328800,2017-01-27T08:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112200,32.32324800,2017-01-27T09:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110300,32.32326000,2017-01-27T10:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112700,32.32327000,2017-01-27T11:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112000,32.32331800,2017-01-27T12:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112700,32.32330700,2017-01-27T13:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32330000,2017-01-27T14:32:00Z
252,MOSAED 2,Tug,Tug,,31.26112200,32.32330500,2017-01-27T15:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110500,32.32329300,2017-01-27T16:31:00Z
252,MOSAED 2,Tug,Tug,,31.26111300,32.32328000,2017-01-27T17:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112200,32.32328300,2017-01-27T18:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110800,32.32327200,2017-01-27T19:31:00Z
252,MOSAED 2,Tug,Tug,,31.26113200,32.32329500,2017-01-27T20:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32330000,2017-01-27T21:32:00Z
252,MOSAED 2,Tug,Tug,,31.26112300,32.32328200,2017-01-27T22:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112000,32.32328800,2017-01-27T23:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110200,32.32329300,2017-01-28T00:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112200,32.32327500,2017-01-28T01:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112500,32.32326700,2017-01-28T02:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32330000,2017-01-28T03:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32330000,2017-01-28T04:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112300,32.32328500,2017-01-28T05:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112700,32.32328200,2017-01-28T06:31:00Z
252,MOSAED 2,Tug,Tug,,31.26111800,32.32328300,2017-01-28T07:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112500,32.32326000,2017-01-28T08:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112300,32.32328300,2017-01-28T09:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112300,32.32328300,2017-01-28T10:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112300,32.32328300,2017-01-28T11:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112300,32.32328300,2017-01-28T12:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112300,32.32328300,2017-01-28T13:31:00Z
252,MOSAED 2,Tug,Tug,,31.26111700,32.32329300,2017-01-28T14:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32330000,2017-01-28T15:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32330000,2017-01-28T16:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112300,32.32325500,2017-01-28T17:31:00Z
252,MOSAED 2,Tug,Tug,,31.26111700,32.32326500,2017-01-28T18:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32330000,2017-01-28T19:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112500,32.32324500,2017-01-28T20:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112500,32.32326200,2017-01-28T21:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112300,32.32323000,2017-01-28T22:32:00Z
252,MOSAED 2,Tug,Tug,,31.26111000,32.32324000,2017-01-28T23:31:00Z
252,MOSAED 2,Tug,Tug,,31.26111000,32.32324000,2017-01-29T00:32:00Z
252,MOSAED 2,Tug,Tug,,31.26112200,32.32324500,2017-01-29T01:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32320000,2017-01-29T02:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110700,32.32324700,2017-01-29T03:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112800,32.32321300,2017-01-29T04:32:00Z
252,MOSAED 2,Tug,Tug,,31.26111000,32.32320200,2017-01-29T05:31:00Z
252,MOSAED 2,Tug,Tug,,31.26111800,32.32322000,2017-01-29T06:31:00Z
252,MOSAED 2,Tug,Tug,,31.26112700,32.32324700,2017-01-29T07:31:00Z
252,MOSAED 2,Tug,Tug,,31.26111700,32.32322800,2017-01-29T08:31:00Z
252,MOSAED 2,Tug,Tug,,31.26110000,32.32330000,2017-01-29T09:31:00Z
252,MOSAED 2,Tug,Tug,,31.25956000,32.31761000,2017-01-29T10:31:00Z
252,MOSAED 2,Tug,Tug,,31.25957800,32.31757700,2017-01-29T11:31:00Z
252,MOSAED 2,Tug,Tug,,31.28605700,32.33483200,2017-01-29T12:31:00Z
252,MOSAED 2,Tug,Tug,,31.25956200,32.31763700,2017-01-29T13:31:00Z
252,MOSAED 2,Tug,Tug,,31.25960000,32.31760000,2017-01-29T14:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955300,32.31762500,2017-01-29T15:31:00Z
252,MOSAED 2,Tug,Tug,,31.25957700,32.31763800,2017-01-29T16:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955500,32.31763200,2017-01-29T17:31:00Z
252,MOSAED 2,Tug,Tug,,31.25956200,32.31762200,2017-01-29T18:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955500,32.31762700,2017-01-29T19:31:00Z
252,MOSAED 2,Tug,Tug,,31.25956000,32.31762700,2017-01-29T20:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955500,32.31762800,2017-01-29T21:32:00Z
252,MOSAED 2,Tug,Tug,,31.25953700,32.31762700,2017-01-29T22:32:00Z
252,MOSAED 2,Tug,Tug,,31.25955300,32.31762000,2017-01-29T23:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955700,32.31763200,2017-01-30T00:31:00Z
252,MOSAED 2,Tug,Tug,,31.25954800,32.31764300,2017-01-30T01:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955800,32.31762800,2017-01-30T02:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955300,32.31762500,2017-01-30T03:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955700,32.31762700,2017-01-30T04:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955500,32.31763200,2017-01-30T05:32:00Z
252,MOSAED 2,Tug,Tug,,31.25956000,32.31763700,2017-01-30T06:31:00Z
252,MOSAED 2,Tug,Tug,,31.25956000,32.31763800,2017-01-30T07:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955700,32.31764500,2017-01-30T08:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955800,32.31762800,2017-01-30T09:31:00Z
252,MOSAED 2,Tug,Tug,,31.25956000,32.31763200,2017-01-30T10:31:00Z
252,MOSAED 2,Tug,Tug,,31.28637000,32.33718200,2017-01-30T11:31:00Z
252,MOSAED 2,Tug,Tug,,31.32460000,32.37770000,2017-01-30T12:31:00Z
252,MOSAED 2,Tug,Tug,,31.25954200,32.31762500,2017-01-30T13:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955000,32.31762300,2017-01-30T14:32:00Z
252,MOSAED 2,Tug,Tug,,31.25950000,32.31760000,2017-01-30T15:31:00Z
252,MOSAED 2,Tug,Tug,,31.25956200,32.31762500,2017-01-30T16:31:00Z
252,MOSAED 2,Tug,Tug,,31.25954500,32.31762500,2017-01-30T17:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955200,32.31761300,2017-01-30T18:31:00Z
252,MOSAED 2,Tug,Tug,,31.25954000,32.31762700,2017-01-30T19:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955200,32.31762500,2017-01-30T20:31:00Z
252,MOSAED 2,Tug,Tug,,31.25954800,32.31762200,2017-01-30T21:32:00Z
252,MOSAED 2,Tug,Tug,,31.25953500,32.31761800,2017-01-30T22:32:00Z
252,MOSAED 2,Tug,Tug,,31.25954700,32.31762200,2017-01-30T23:31:00Z
252,MOSAED 2,Tug,Tug,,31.25954500,32.31762300,2017-01-31T00:31:00Z
252,MOSAED 2,Tug,Tug,,31.25954700,32.31763300,2017-01-31T01:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955300,32.31762300,2017-01-31T02:31:00Z
252,MOSAED 2,Tug,Tug,,31.25954700,32.31762500,2017-01-31T03:31:00Z
252,MOSAED 2,Tug,Tug,,31.25954800,32.31763000,2017-01-31T04:31:00Z
252,MOSAED 2,Tug,Tug,,31.25954700,32.31762200,2017-01-31T05:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955200,32.31762700,2017-01-31T06:31:00Z
252,MOSAED 2,Tug,Tug,,31.25954500,32.31763300,2017-01-31T07:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955300,32.31762500,2017-01-31T08:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955300,32.31762500,2017-01-31T09:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955000,32.31762700,2017-01-31T10:32:00Z
252,MOSAED 2,Tug,Tug,,31.25954800,32.31762500,2017-01-31T11:31:00Z
252,MOSAED 2,Tug,Tug,,31.25954000,32.31761300,2017-01-31T12:32:00Z
252,MOSAED 2,Tug,Tug,,31.25954500,32.31762700,2017-01-31T13:31:00Z
252,MOSAED 2,Tug,Tug,,31.25954700,32.31762300,2017-01-31T14:32:00Z
252,MOSAED 2,Tug,Tug,,31.25954300,32.31761800,2017-01-31T15:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955500,32.31762500,2017-01-31T16:31:00Z
252,MOSAED 2,Tug,Tug,,31.25954800,32.31762200,2017-01-31T17:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955500,32.31762200,2017-01-31T18:31:00Z
252,MOSAED 2,Tug,Tug,,31.25954300,32.31762700,2017-01-31T19:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955200,32.31762500,2017-01-31T20:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955000,32.31762500,2017-01-31T21:31:00Z
252,MOSAED 2,Tug,Tug,,31.25954200,32.31761800,2017-01-31T22:31:00Z
252,MOSAED 2,Tug,Tug,,31.25955000,32.31762500,2017-01-31T23:31:00Z
252,MOSAED 2,Tug,Tug,,31.25954300,32.31762500,2017-02-01T00:31:00Z
252,MOSAED 2,Tug,Tug,,31.25954500,32.31763300,2017-02-01T01:31:00Z
