MMSI,ShipName,ShipTypeComplete,ShipType,AdditionalInfo,Latitude,Longitude,Time
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93339800,23.64842000,2017-01-23T00:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93336700,23.64837000,2017-01-23T01:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93332300,23.64838800,2017-01-23T02:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93333000,23.64846500,2017-01-23T03:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93331500,23.64847800,2017-01-23T04:31:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93328200,23.64848200,2017-01-23T05:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93328300,23.64849800,2017-01-23T06:31:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93332300,23.64848500,2017-01-23T07:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93330200,23.64845000,2017-01-23T08:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93332800,23.64843500,2017-01-23T09:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93326300,23.64847700,2017-01-23T10:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93337000,23.64839700,2017-01-23T11:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93333000,23.64843700,2017-01-23T12:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93329300,23.64846200,2017-01-23T13:31:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93334000,23.64841500,2017-01-23T14:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93333700,23.64844700,2017-01-23T15:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93334200,23.64845500,2017-01-23T16:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93329800,23.64843700,2017-01-23T17:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93334000,23.64842300,2017-01-23T18:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93332700,23.64844500,2017-01-23T19:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93329800,23.64846700,2017-01-23T20:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93332200,23.64843500,2017-01-23T21:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93325000,23.64849800,2017-01-23T22:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93331700,23.64846300,2017-01-23T23:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93334500,23.64846000,2017-01-24T00:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93328300,23.64853000,2017-01-24T01:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93326300,23.64845300,2017-01-24T02:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93332800,23.64843200,2017-01-24T03:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93332500,23.64846500,2017-01-24T04:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93329700,23.64847000,2017-01-24T05:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93328700,23.64847800,2017-01-24T06:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93330800,23.64847800,2017-01-24T07:31:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93331500,23.64846300,2017-01-24T08:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93331700,23.64842500,2017-01-24T09:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93329500,23.64847300,2017-01-24T10:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93330000,23.64845200,2017-01-24T11:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93329700,23.64845300,2017-01-24T12:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93331200,23.64846200,2017-01-24T13:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93329300,23.64844500,2017-01-24T14:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93334000,23.64845000,2017-01-24T15:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93329000,23.64849000,2017-01-24T16:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93333200,23.64843800,2017-01-24T17:31:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93333000,23.64846300,2017-01-24T18:31:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93333500,23.64844500,2017-01-24T19:32:00Z
25342000,M_Y LEDRA,Vessel-Pleasure Craft,Vessel,Pleasure Craft,37.93329500,23.64847300,2017-01-24T20:31:00Z
