mmsi,rtime,longitude,latitude,shipName,shipType,ShipType,shipTypeText
211769740.00000000,2018-04-30T22:51:32.000Z,-5.08591667,55.86185500,,36.00000000,Sailing,Sailing
211769740.00000000,2018-04-30T22:48:32.000Z,-5.08588333,55.86184667,,36.00000000,Sailing,Sailing
211769740.00000000,2018-04-30T22:45:32.000Z,-5.08586500,55.86186833,,36.00000000,Sailing,Sailing
211769740.00000000,2018-04-30T22:42:33.000Z,-5.08590167,55.86187333,,36.00000000,Sailing,Sailing
211769740.00000000,2018-04-30T22:42:02.000Z,-5.08590833,55.86188000,,36.00000000,Sailing,Sailing
211769740.00000000,2018-04-30T22:41:32.000Z,-5.08589833,55.86188500,,36.00000000,Sailing,Sailing
211769740.00000000,2018-04-30T22:41:01.000Z,-5.08589167,55.86187500,,36.00000000,Sailing,Sailing
211769740.00000000,2018-04-30T22:40:31.000Z,-5.08588167,55.86185167,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T05:44:17.000Z,-4.85564000,55.77570833,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T05:41:16.000Z,-4.85564500,55.77568500,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T05:35:15.000Z,-4.85564333,55.77571333,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T05:32:14.000Z,-4.85563500,55.77570000,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T05:29:13.000Z,-4.85564500,55.77574000,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T05:26:13.000Z,-4.85561667,55.77565333,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T05:23:11.000Z,-4.85560333,55.77561667,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T05:20:10.000Z,-4.85562667,55.77570667,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T05:17:10.000Z,-4.85564000,55.77571333,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T05:14:09.000Z,-4.85562500,55.77568833,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T05:11:07.000Z,-4.85562667,55.77569000,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T05:08:07.000Z,-4.85565167,55.77568667,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T05:05:06.000Z,-4.85560667,55.77574167,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T05:02:06.000Z,-4.85565667,55.77570000,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T04:59:05.000Z,-4.85561667,55.77567667,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T04:56:03.000Z,-4.85562833,55.77573500,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T04:53:03.000Z,-4.85563000,55.77572500,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T04:50:02.000Z,-4.85564333,55.77568833,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T04:47:01.000Z,-4.85563833,55.77569000,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T04:44:00.000Z,-4.85561500,55.77571833,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T04:41:00.000Z,-4.85561167,55.77570667,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T04:37:59.000Z,-4.85565000,55.77568167,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T04:34:58.000Z,-4.85565667,55.77571667,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T04:31:57.000Z,-4.85564000,55.77570500,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T04:28:56.000Z,-4.85566667,55.77570667,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T04:25:55.000Z,-4.85564500,55.77570167,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T04:22:58.000Z,-4.85563500,55.77569500,,36.00000000,Sailing,Sailing
232002912.00000000,2018-05-01T04:19:54.000Z,-4.85565000,55.77569500,,36.00000000,Sailing,Sailing
